,Outlook,Temperature,Humidity,Windy,Play-Golf
0,Rainy,Hot,High,False,Yes
1,Rainy,Hot,High,True,No
2,Overcast,Hot,High,False,Yes
3,Sunny,Mild,High,False,Yes
4,Sunny,Cool,Normal,False,Yes
5,Sunny,Cool,Normal,True,No
6,Overcast,Cool,Normal,True,Yes
7,Rainy,Mild,High,False,No
8,Rainy,Cool,Normal,False,Yes
9,Sunny,Mild,Normal,False,Yes
10,Rainy,Mild,Normal,True,Yes
11,Overcast,Mild,High,True,Yes
12,Overcast,Hot,Normal,False,Yes
13,Sunny,Mild,High,True,No
14,Rainy,Cool,Normal,False,Yes
15,Overcast,Hot,High,False,Yes
16,Overcast,Cool,Normal,True,Yes
17,Sunny,Mild,Normal,False,Yes
18,Rainy,Hot,High,False,Yes
19,Sunny,Cool,Normal,False,Yes
20,Sunny,Mild,High,True,No
21,Rainy,Mild,Normal,True,Yes
22,Sunny,Mild,High,False,Yes
23,Rainy,Hot,High,True,No
24,Sunny,Cool,Normal,False,Yes
25,Rainy,Mild,Normal,True,Yes
26,Overcast,Mild,High,True,Yes
27,Sunny,Mild,High,False,Yes
28,Rainy,Mild,Normal,True,Yes
29,Sunny,Cool,Normal,False,Yes
30,Sunny,Mild,High,True,No
31,Sunny,Mild,High,False,Yes
32,Overcast,Hot,Normal,False,Yes
33,Sunny,Cool,Normal,True,No
34,Rainy,Hot,High,True,No
35,Overcast,Hot,High,False,Yes
36,Overcast,Cool,Normal,True,Yes
37,Sunny,Mild,High,True,No
38,Rainy,Hot,High,True,No
39,Sunny,Cool,Normal,False,Yes
40,Sunny,Mild,High,True,No
41,Overcast,Hot,High,False,Yes
42,Sunny,Cool,Normal,True,No
43,Sunny,Mild,High,True,No
44,Sunny,Cool,Normal,False,Yes
45,Rainy,Mild,Normal,True,Yes
46,Rainy,Hot,High,True,No
47,Rainy,Hot,High,True,No
48,Rainy,Hot,High,True,No
49,Overcast,Hot,High,False,Yes
50,Rainy,Mild,Normal,True,Yes
51,Overcast,Cool,Normal,True,Yes
52,Overcast,Cool,Normal,True,Yes
53,Overcast,Hot,High,False,Yes
54,Rainy,Hot,High,True,No
55,Sunny,Cool,Normal,True,No
56,Overcast,Hot,Normal,False,Yes
57,Overcast,Hot,High,False,Yes
58,Overcast,Hot,Normal,False,Yes
59,Sunny,Mild,High,False,Yes
60,Rainy,Hot,High,False,Yes
61,Sunny,Mild,High,True,No
62,Overcast,Mild,High,True,Yes
63,Sunny,Mild,High,True,No
64,Overcast,Cool,Normal,True,Yes
65,Overcast,Cool,Normal,True,Yes
66,Overcast,Cool,Normal,True,Yes
67,Sunny,Cool,Normal,False,Yes
68,Sunny,Mild,Normal,False,Yes
69,Rainy,Hot,High,True,No
70,Rainy,Cool,Normal,False,Yes
71,Sunny,Cool,Normal,False,Yes
72,Rainy,Mild,High,False,No
73,Rainy,Cool,Normal,False,Yes
74,Sunny,Cool,Normal,False,Yes
75,Sunny,Mild,High,True,No
76,Overcast,Mild,High,True,Yes
77,Rainy,Hot,High,True,No
78,Sunny,Mild,High,False,Yes
79,Overcast,Hot,High,False,Yes
80,Sunny,Cool,Normal,False,Yes
81,Overcast,Hot,Normal,False,Yes
82,Overcast,Cool,Normal,True,Yes
83,Rainy,Hot,High,True,No
84,Rainy,Hot,High,True,No
85,Rainy,Hot,High,False,Yes
86,Overcast,Hot,High,False,Yes
87,Sunny,Mild,High,True,No
88,Rainy,Mild,Normal,True,Yes
89,Overcast,Hot,High,False,Yes
90,Overcast,Hot,Normal,False,Yes
91,Overcast,Hot,High,False,Yes
92,Sunny,Mild,High,True,No
93,Sunny,Mild,High,True,No
94,Overcast,Mild,High,True,Yes
95,Sunny,Cool,Normal,False,Yes
96,Sunny,Cool,Normal,True,No
97,Rainy,Cool,Normal,False,Yes
98,Sunny,Cool,Normal,True,No
99,Overcast,Hot,Normal,False,Yes
100,Overcast,Cool,Normal,True,Yes
101,Rainy,Hot,High,True,No
102,Overcast,Hot,High,False,Yes
103,Overcast,Hot,High,False,Yes
104,Sunny,Mild,High,True,No
105,Rainy,Hot,High,True,No
106,Overcast,Hot,High,False,Yes
107,Sunny,Mild,Normal,False,Yes
108,Sunny,Cool,Normal,False,Yes
109,Rainy,Hot,High,True,No
110,Sunny,Mild,High,True,No
111,Sunny,Mild,High,True,No
112,Overcast,Cool,Normal,True,Yes
113,Sunny,Cool,Normal,True,No
114,Sunny,Cool,Normal,False,Yes
115,Rainy,Hot,High,True,No
116,Sunny,Cool,Normal,False,Yes
117,Sunny,Mild,High,False,Yes
118,Sunny,Mild,High,False,Yes
119,Rainy,Hot,High,True,No
120,Sunny,Cool,Normal,True,No
121,Sunny,Cool,Normal,False,Yes
122,Sunny,Cool,Normal,False,Yes
123,Sunny,Cool,Normal,True,No
124,Sunny,Mild,High,True,No
125,Rainy,Hot,High,False,Yes
126,Sunny,Mild,High,True,No
127,Sunny,Mild,High,True,No
128,Sunny,Mild,High,True,No
129,Overcast,Hot,Normal,False,Yes
130,Rainy,Hot,High,True,No
131,Overcast,Cool,Normal,True,Yes
132,Sunny,Cool,Normal,False,Yes
133,Overcast,Cool,Normal,True,Yes
134,Sunny,Cool,Normal,True,No
135,Overcast,Hot,High,False,Yes
136,Overcast,Hot,Normal,False,Yes
137,Overcast,Hot,High,False,Yes
138,Sunny,Mild,High,True,No
139,Sunny,Mild,Normal,False,Yes
140,Rainy,Cool,Normal,False,Yes
141,Rainy,Hot,High,False,Yes
142,Overcast,Hot,High,False,Yes
143,Overcast,Hot,High,False,Yes
144,Rainy,Hot,High,True,No
145,Sunny,Mild,High,True,No
146,Sunny,Mild,Normal,False,Yes
147,Overcast,Hot,High,False,Yes
148,Sunny,Mild,High,False,Yes
149,Sunny,Mild,Normal,False,Yes
150,Sunny,Cool,Normal,False,Yes
151,Overcast,Mild,High,True,Yes
152,Overcast,Hot,Normal,False,Yes
153,Sunny,Mild,High,True,No
154,Rainy,Hot,High,True,No
155,Rainy,Hot,High,True,No
156,Sunny,Mild,Normal,False,Yes
157,Rainy,Hot,High,True,No
158,Rainy,Mild,Normal,True,Yes
159,Rainy,Hot,High,True,No
160,Overcast,Hot,High,False,Yes
161,Rainy,Hot,High,True,No
162,Sunny,Cool,Normal,False,Yes
